ID,TARGET
2,0.04554502666
5,0.0532181188464
6,0.00294894119725
7,0.0118029350415
9,0.00313367834315
11,0.229196235538
12,0.0
15,0.161781877279
16,0.0281230155379
17,0.0213601905853
19,0.0246205534786
21,0.00445978716016
22,0.0200591869652
24,0.0120967030525
27,0.0128954751417
28,0.022479634732
30,0.120544806123
33,0.0037942994386
35,0.0131477490067
37,0.0228687487543
38,0.0197464711964
40,0.180373981595
41,0.0294027216733
44,0.00809141248465
46,0.0596765205264
47,0.0113741382957
48,0.00406257947907
50,0.00699240155518
52,0.183482214808
53,0.00949092209339
55,0.0264810044318
57,0.00308491359465
58,0.010857520625
59,0.0157974511385
62,0.0293494798243
63,0.0114910462871
64,0.0237885657698
65,0.0143886348233
67,0.0178880281746
69,0.0487065166235
70,0.0038445580285
71,0.0262982286513
72,0.00548493349925
73,0.00365374772809
76,0.00591220054775
78,0.00488305231556
79,0.0294276531786
81,0.00424224697053
85,0.0124822817743
86,0.0040443087928
89,0.0395575091243
94,0.12424813956
96,0.00403284281492
97,0.0217387080193
98,0.0035080795642
99,0.0204660743475
100,0.228388905525
103,0.0860849320889
104,0.00809062924236
108,0.0105151254684
110,0.00389989605173
112,0.0247838757932
114,0.0423226989806
116,0.0219691209495
117,0.0100474860519
119,0.00646864483133
120,0.0054172212258
121,9.9783846963e-06
123,0.0219767335802
124,0.0310537684709
126,0.00276929838583
128,0.0131711708382
129,0.0801010429859
133,0.0367795079947
138,0.0244125425816
147,0.0338146947324
149,0.0169740915298
158,0.00361215975136
160,0.00858863163739
164,0.033397141844
167,0.0562922693789
168,0.0181269980967
174,0.0100031932816
181,0.0230891108513
185,0.0344785600901
187,0.00527060311288
189,0.0127319376916
190,0.0548070892692
194,0.00826201960444
197,0.0376457832754
198,0.0216520093381
201,0.0423609986901
205,0.00897879339755
208,0.128325909376
211,0.0125817824155
216,0.0306336153299
219,0.0596267171204
223,0.00757645163685
224,0.105094254017
226,0.0167659278959
229,0.0123874535784
230,0.0167028643191
237,0.0199354216456
238,0.0234894938767
240,0.0828142687678
243,9.9783846963e-06
245,0.126993060112
246,0.224603652954
247,0.00605415180326
248,0.0111667495221
249,0.00381342996843
250,0.27503028512
251,0.00274715851992
255,0.10529910028
256,0.0248853340745
257,0.0717758387327
260,0.158631265163
261,0.00611658487469
263,0.202071011066
264,0.161085024476
267,0.0086461417377
268,0.0185120012611
272,0.00790956243873
274,0.00893928017467
275,0.00612184870988
277,0.283347606659
278,0.303498089314
280,0.00725213438272
281,0.0248239729553
282,0.0877680927515
