ID,PREDICTION,TARGET
1,0.0342117547989,0
3,0.0185484420508,0
4,0.00398108595982,0
8,0.027875656262,0
10,0.009038166143,0
13,0.0161299332976,0
14,0.0231241881847,0
18,0.0138590317219,0
20,0.180598437786,0
23,0.0115969488397,0
25,0.0160758439451,0
26,0.0480355545878,0
29,0.0302375629544,0
31,0.00560589041561,0
32,0.0276379268616,0
34,0.0355015285313,0
36,0.151394739747,0
39,0.0104484623298,0
42,0.00988381356001,0
43,0.021827140823,0
45,0.0185721553862,0
49,0.0310524888337,0
51,0.0715548247099,0
54,0.0534667484462,0
56,0.17717730999,0
60,0.0292455889285,0
61,0.0164192635566,0
66,0.0572173632681,0
68,0.00798947177827,0
74,0.00537763908505,0
75,0.0150099275634,0
77,0.213273540139,1
80,0.0323671102524,0
82,0.0147301657125,0
83,0.0521072037518,0
84,0.0173274967819,0
87,0.22541230917,0
88,0.0898766219616,0
90,0.00276335980743,0
91,0.00794424675405,0
92,0.153159409761,0
93,0.00430485326797,0
95,0.0103963362053,0
101,0.0105826482177,0
102,0.0622429251671,0
105,0.015826234594,0
106,0.00675757275894,0
107,0.00698591815308,0
109,0.00446788407862,0
111,0.0879989266396,0
113,0.00730130495504,0
115,0.00332475290634,0
118,0.16570161283,0
122,0.00850019976497,0
125,0.0222575161606,0
127,0.00367683777586,0
130,0.0892770588398,0
131,0.0218216665089,0
132,0.0223915688694,0
134,0.00446567684412,0
135,0.0103552015498,0
136,0.0217677131295,0
137,0.0295668840408,0
139,0.0240974929184,0
140,0.0091982614249,0
141,0.182299464941,0
142,0.0261374562979,0
143,0.00345108984038,0
144,0.0104857692495,0
145,0.0548157095909,0
146,0.00258917198516,0
148,0.0307340640575,0
150,0.0790187716484,0
151,0.00752329733223,0
152,0.00985779426992,0
153,0.00598881579936,0
154,0.151502400637,0
155,0.00522178132087,0
156,0.0040443087928,0
157,0.00428996188566,0
159,0.0677838027477,1
161,0.00983892008662,0
162,0.0447389706969,0
163,0.00497903767973,0
165,0.00476334989071,0
166,0.00988844502717,0
169,0.0178880281746,0
170,0.00596965570003,0
171,0.0924505293369,0
172,0.0438404306769,0
173,0.00531445257366,0
175,0.00580871663988,0
176,0.0159972701222,0
177,0.018329910934,0
178,0.00343634397723,0
179,0.0104076294228,0
180,0.00493815960363,0
182,0.24434761703,0
183,0.00873665884137,0
184,0.00245194928721,0
186,0.00393306696787,0
188,0.0231225937605,0
191,0.00934771541506,0
192,0.00268568098545,0
193,0.00656232377514,0
195,0.0336842648685,0
196,0.0398424901068,0
199,0.0618414096534,0
200,0.0124770877883,0
202,0.17162065208,0
203,0.208636268973,0
204,0.0338275544345,0
206,0.010905069299,0
207,0.00799945462495,0
209,0.0297454129905,0
210,0.00436200480908,0
212,0.0208306349814,0
213,0.0323905535042,0
214,0.0411126241088,0
215,0.0213604662567,0
217,0.0105944061652,0
218,0.0374200418591,0
220,0.0280178617686,1
221,0.0104510523379,0
222,0.0225341394544,0
225,0.00832205731422,0
227,0.00337789161131,0
228,0.0223585702479,0
231,0.0100030694157,0
232,0.0307311620563,0
233,0.00808886997402,0
234,0.00736030936241,0
235,0.0208137221634,0
236,0.0478384867311,0
239,0.00575496349484,0
241,0.00709718093276,0
242,0.00482090888545,0
244,0.023312414065,0
252,0.0482591316104,0
253,0.0143297957256,0
254,0.0227595344186,0
258,0.167107641697,0
259,0.0324092134833,0
262,0.00359893450513,0
265,0.0931780412793,0
266,0.0305503252894,0
269,0.0208137221634,0
270,0.0157266445458,0
271,0.0521098524332,0
273,0.00453353440389,0
276,0.0303664337844,0
279,0.0303359888494,0
285,0.01829072088,0
287,0.0351551808417,0
288,0.0362964197993,0
